"Wk","Day","Date","Time","Home","xG","Score","xG.1","Away","Attendance","Venue","Referee","Match.Report","Notes"
1,"Fri","2021-08-13","20:30","M'Gladbach",2,"1-1",2.6,"Bayern Munich",22925,"Stadion im Borussia-Park","Marco Fritz","Match Report",""
1,"Sat","2021-08-14","15:30","Stuttgart",4,"5-1",0.8,"Greuther Fürth",18109,"Mercedes-Benz Arena","Felix Zwayer","Match Report",""
1,"Sat","2021-08-14","15:30","Wolfsburg",3,"1-0",0.4,"Bochum",8536,"Volkswagen Arena","Frank Willenborg","Match Report",""
1,"Sat","2021-08-14","15:30","Arminia",0.9,"0-0",1.4,"Freiburg",13750,"SchücoArena","Sven Jablonski","Match Report",""
1,"Sat","2021-08-14","15:30","Union Berlin",0.5,"1-1",0.7,"Leverkusen",11000,"Stadion An der Alten Försterei","Tobias Reichel","Match Report",""
1,"Sat","2021-08-14","15:30","Augsburg",0.6,"0-4",3.4,"Hoffenheim",9124,"WWK Arena","Felix Brych","Match Report",""
1,"Sat","2021-08-14","18:30","Dortmund",2.5,"5-2",1.8,"Eint Frankfurt",25000,"Signal Iduna Park","Tobias Stieler","Match Report",""
1,"Sun","2021-08-15","15:30","Mainz 05",1.1,"1-0",1.1,"RB Leipzig",10500,"Opel Arena","Daniel Siebert","Match Report",""
1,"Sun","2021-08-15","17:30","Köln",1.7,"3-1",1.9,"Hertha BSC",16500,"RheinEnergieSTADION","Robert Hartmann","Match Report",""
2,"Fri","2021-08-20","20:30","RB Leipzig",3.5,"4-0",1.1,"Stuttgart",23100,"Red Bull Arena","Florian Badstübner","Match Report",""
2,"Sat","2021-08-21","15:30","Greuther Fürth",2.3,"1-1",0.6,"Arminia",5890,"Sportpark Ronhof Thomas Sommer","Daniel Schlager","Match Report",""
2,"Sat","2021-08-21","15:30","Bochum",0.7,"2-0",0.8,"Mainz 05",12548,"Vonovia Ruhrstadion","Patrick Ittrich","Match Report",""
2,"Sat","2021-08-21","15:30","Freiburg",1,"2-1",1.5,"Dortmund",10100,"Schwarzwald-Stadion","Robert Schröder","Match Report",""
2,"Sat","2021-08-21","15:30","Hertha BSC",1.3,"1-2",1.4,"Wolfsburg",18241,"Olympiastadion Berlin","Matthias Jöllenbeck","Match Report",""
2,"Sat","2021-08-21","15:30","Eint Frankfurt",1.4,"0-0",0.2,"Augsburg",22000,"Commerzbank-Arena","Harm Osmers","Match Report",""
2,"Sat","2021-08-21","18:30","Leverkusen",2,"4-0",1.7,"M'Gladbach",15105,"BayArena","Deniz Aytekin","Match Report",""
2,"Sun","2021-08-22","15:30","Hoffenheim",0.9,"2-2",1.6,"Union Berlin",8014,"PreZero Arena","Sascha Stegemann","Match Report",""
2,"Sun","2021-08-22","17:30","Bayern Munich",2.6,"3-2",0.8,"Köln",20000,"Allianz Arena","Martin Petersen","Match Report",""
3,"Fri","2021-08-27","20:30","Dortmund",3.6,"3-2",1.8,"Hoffenheim",25000,"Signal Iduna Park","Felix Zwayer","Match Report",""
3,"Sat","2021-08-28","15:30","Stuttgart",1.5,"2-3",1.2,"Freiburg",25000,"Mercedes-Benz Arena","Frank Willenborg","Match Report",""
3,"Sat","2021-08-28","15:30","Köln",2,"2-1",1,"Bochum",25000,"RheinEnergieSTADION","Benjamin Cortus","Match Report",""
3,"Sat","2021-08-28","15:30","Augsburg",1.5,"1-4",2.1,"Leverkusen",10582,"WWK Arena","Benjamin Brand","Match Report",""
3,"Sat","2021-08-28","15:30","Arminia",0.7,"1-1",2.1,"Eint Frankfurt",13750,"SchücoArena","Bastian Dankert","Match Report",""
3,"Sat","2021-08-28","15:30","Mainz 05",2.6,"3-0",0.4,"Greuther Fürth",11500,"Opel Arena","Tobias Reichel","Match Report",""
3,"Sat","2021-08-28","18:30","Bayern Munich",3,"5-0",0.4,"Hertha BSC",25000,"Allianz Arena","Sven Jablonski","Match Report",""
3,"Sun","2021-08-29","15:30","Union Berlin",1.9,"2-1",2.2,"M'Gladbach",11006,"Stadion An der Alten Försterei","Felix Brych","Match Report",""
3,"Sun","2021-08-29","17:30","Wolfsburg",1.1,"1-0",1.4,"RB Leipzig",12058,"Volkswagen Arena","Tobias Stieler","Match Report",""
4,"Sat","2021-09-11","15:30","Union Berlin",1.3,"0-0",1.3,"Augsburg",10207,"Stadion An der Alten Försterei","Martin Petersen","Match Report",""
4,"Sat","2021-09-11","15:30","Hoffenheim",0.8,"0-2",1.1,"Mainz 05",8427,"PreZero Arena","Marco Fritz","Match Report",""
4,"Sat","2021-09-11","15:30","Freiburg",0.6,"1-1",0.8,"Köln",10000,"Schwarzwald-Stadion","Harm Osmers","Match Report",""
4,"Sat","2021-09-11","15:30","Greuther Fürth",0.5,"0-2",1.6,"Wolfsburg",9000,"Sportpark Ronhof Thomas Sommer","Robert Hartmann","Match Report",""
4,"Sat","2021-09-11","15:30","Leverkusen",0.9,"3-4",2.1,"Dortmund",17605,"BayArena","Daniel Siebert","Match Report",""
4,"Sat","2021-09-11","18:30","RB Leipzig",0.5,"1-4",4.2,"Bayern Munich",34000,"Red Bull Arena","Deniz Aytekin","Match Report",""
4,"Sun","2021-09-12","15:30","Eint Frankfurt",1.3,"1-1",1.4,"Stuttgart",25000,"Commerzbank-Arena","Matthias Jöllenbeck","Match Report",""
4,"Sun","2021-09-12","17:30","Bochum",1.2,"1-3",0.5,"Hertha BSC",14000,"Vonovia Ruhrstadion","Robert Schröder","Match Report",""
4,"Sun","2021-09-12","19:30","M'Gladbach",1.9,"3-1",1.8,"Arminia",24500,"Stadion im Borussia-Park","Sascha Stegemann","Match Report",""
5,"Fri","2021-09-17","20:30","Hertha BSC",1.1,"2-1",1.3,"Greuther Fürth",21372,"Olympiastadion Berlin","Tobias Stieler","Match Report",""
5,"Sat","2021-09-18","15:30","Bayern Munich",4.5,"7-0",1,"Bochum",25000,"Allianz Arena","Tobias Welz","Match Report",""
5,"Sat","2021-09-18","15:30","Mainz 05",0.8,"0-0",0.7,"Freiburg",13500,"Opel Arena","Benjamin Brand","Match Report",""
5,"Sat","2021-09-18","15:30","Augsburg",0.4,"1-0",0.7,"M'Gladbach",12500,"WWK Arena","Florian Badstübner","Match Report",""
5,"Sat","2021-09-18","15:30","Arminia",1.1,"0-0",1.5,"Hoffenheim",13750,"SchücoArena","Patrick Ittrich","Match Report",""
5,"Sat","2021-09-18","18:30","Köln",1.6,"1-1",1.9,"RB Leipzig",25000,"RheinEnergieSTADION","Felix Brych","Match Report",""
5,"Sun","2021-09-19","15:30","Stuttgart",1.1,"1-3",1.5,"Leverkusen",23450,"Mercedes-Benz Arena","Benjamin Cortus","Match Report",""
5,"Sun","2021-09-19","17:30","Dortmund",0.9,"4-2",1.4,"Union Berlin",25000,"Signal Iduna Park","Sven Jablonski","Match Report",""
5,"Sun","2021-09-19","19:30","Wolfsburg",1.7,"1-1",0.3,"Eint Frankfurt",9266,"Volkswagen Arena","Felix Zwayer","Match Report",""
6,"Fri","2021-09-24","20:30","Greuther Fürth",1,"1-3",0.9,"Bayern Munich",11740,"Sportpark Ronhof Thomas Sommer","Robert Schröder","Match Report",""
6,"Sat","2021-09-25","15:30","Leverkusen",1.6,"1-0",1,"Mainz 05",16624,"BayArena","Bastian Dankert","Match Report",""
6,"Sat","2021-09-25","15:30","RB Leipzig",3.9,"6-0",0.3,"Hertha BSC",23500,"Red Bull Arena","Sascha Stegemann","Match Report",""
6,"Sat","2021-09-25","15:30","Union Berlin",1.2,"1-0",0.6,"Arminia",11000,"Stadion An der Alten Försterei","Marco Fritz","Match Report",""
6,"Sat","2021-09-25","15:30","Eint Frankfurt",1.2,"1-1",1,"Köln",24000,"Commerzbank-Arena","Martin Petersen","Match Report",""
6,"Sat","2021-09-25","15:30","Hoffenheim",1.7,"3-1",0.6,"Wolfsburg",8523,"PreZero Arena","Daniel Siebert","Match Report",""
6,"Sat","2021-09-25","18:30","M'Gladbach",1.4,"1-0",0.4,"Dortmund",25000,"Stadion im Borussia-Park","Deniz Aytekin","Match Report",""
6,"Sun","2021-09-26","15:30","Bochum",0.7,"0-0",0.2,"Stuttgart",15300,"Vonovia Ruhrstadion","Christian Dingert","Match Report",""
6,"Sun","2021-09-26","17:30","Freiburg",3,"3-0",0.2,"Augsburg",14400,"Schwarzwald-Stadion","Daniel Schlager","Match Report",""
7,"Fri","2021-10-01","20:30","Köln",2.7,"3-1",1.2,"Greuther Fürth",40000,"RheinEnergieSTADION","Matthias Jöllenbeck","Match Report",""
7,"Sat","2021-10-02","15:30","Stuttgart",0.8,"3-1",1.3,"Hoffenheim",24211,"Mercedes-Benz Arena","Harm Osmers","Match Report",""
7,"Sat","2021-10-02","15:30","Dortmund",3,"2-1",0.8,"Augsburg",41000,"Signal Iduna Park","Tobias Welz","Match Report",""
7,"Sat","2021-10-02","15:30","Hertha BSC",1,"1-2",1,"Freiburg",18376,"Olympiastadion Berlin","Patrick Ittrich","Match Report",""
7,"Sat","2021-10-02","15:30","Wolfsburg",1.3,"1-3",2.8,"M'Gladbach",12845,"Volkswagen Arena","Frank Willenborg","Match Report",""
7,"Sat","2021-10-02","18:30","RB Leipzig",2.5,"3-0",1.3,"Bochum",25598,"Red Bull Arena","Robert Hartmann","Match Report",""
7,"Sun","2021-10-03","15:30","Mainz 05",1.1,"1-2",1.3,"Union Berlin",16000,"Opel Arena","Tobias Stieler","Match Report",""
7,"Sun","2021-10-03","17:30","Bayern Munich",2.7,"1-2",0.7,"Eint Frankfurt",25000,"Allianz Arena","Florian Badstübner","Match Report",""
7,"Sun","2021-10-03","19:30","Arminia",0.4,"0-4",3,"Leverkusen",16250,"SchücoArena","Felix Zwayer","Match Report",""
8,"Fri","2021-10-15","20:30","Hoffenheim",3.7,"5-0",0.7,"Köln",14309,"PreZero Arena","Tobias Reichel","Match Report",""
8,"Sat","2021-10-16","15:30","Eint Frankfurt",1.5,"1-2",1.8,"Hertha BSC",32000,"Commerzbank-Arena","Deniz Aytekin","Match Report",""
8,"Sat","2021-10-16","15:30","Union Berlin",1.2,"2-0",1.8,"Wolfsburg",11000,"Stadion An der Alten Försterei","Sascha Stegemann","Match Report",""
8,"Sat","2021-10-16","15:30","Dortmund",2.3,"3-1",0.6,"Mainz 05",63812,"Signal Iduna Park","Daniel Schlager","Match Report",""
8,"Sat","2021-10-16","15:30","Freiburg",1.4,"1-1",1.7,"RB Leipzig",20000,"Europa-Park Stadion","Daniel Siebert","Match Report",""
8,"Sat","2021-10-16","15:30","Greuther Fürth",1,"0-1",1.2,"Bochum",10586,"Sportpark Ronhof Thomas Sommer","Bastian Dankert","Match Report",""
8,"Sat","2021-10-16","18:30","M'Gladbach",2.6,"1-1",0.5,"Stuttgart",41608,"Stadion im Borussia-Park","Felix Brych","Match Report",""
8,"Sun","2021-10-17","15:30","Leverkusen",0.8,"1-5",3.1,"Bayern Munich",29542,"BayArena","Sven Jablonski","Match Report",""
8,"Sun","2021-10-17","17:30","Augsburg",0.8,"1-1",0.4,"Arminia",17500,"WWK Arena","Robert Schröder","Match Report",""
9,"Fri","2021-10-22","20:30","Mainz 05",3.6,"4-1",0.8,"Augsburg",19400,"Opel Arena","Robert Hartmann","Match Report",""
9,"Sat","2021-10-23","15:30","Bayern Munich",2.1,"4-0",0.7,"Hoffenheim",60000,"Allianz Arena","Matthias Jöllenbeck","Match Report",""
9,"Sat","2021-10-23","15:30","Arminia",1.7,"1-3",2.4,"Dortmund",25000,"SchücoArena","Benjamin Brand","Match Report",""
9,"Sat","2021-10-23","15:30","RB Leipzig",2.5,"4-1",1.5,"Greuther Fürth",24758,"Red Bull Arena","Christian Dingert","Match Report",""
9,"Sat","2021-10-23","15:30","Wolfsburg",1.8,"0-2",1.5,"Freiburg",10251,"Volkswagen Arena","Tobias Welz","Match Report",""
9,"Sat","2021-10-23","18:30","Hertha BSC",1.1,"1-0",0.7,"M'Gladbach",25000,"Olympiastadion Berlin","Benjamin Cortus","Match Report",""
9,"Sun","2021-10-24","15:30","Köln",1.9,"2-2",1.4,"Leverkusen",49600,"RheinEnergieSTADION","Felix Zwayer","Match Report",""
9,"Sun","2021-10-24","17:30","Stuttgart",0.5,"1-1",1.2,"Union Berlin",32595,"Mercedes-Benz Arena","Florian Badstübner","Match Report",""
9,"Sun","2021-10-24","19:30","Bochum",2.1,"2-0",1.6,"Eint Frankfurt",19510,"Vonovia Ruhrstadion","Marco Fritz","Match Report",""
10,"Fri","2021-10-29","20:30","Hoffenheim",1,"2-0",0.4,"Hertha BSC",8127,"PreZero Arena","Sven Jablonski","Match Report",""
10,"Sat","2021-10-30","15:30","Union Berlin",1.1,"2-5",3.3,"Bayern Munich",16509,"Stadion An der Alten Försterei","Harm Osmers","Match Report",""
10,"Sat","2021-10-30","15:30","Freiburg",1.3,"3-1",0.7,"Greuther Fürth",31500,"Europa-Park Stadion","Felix Brych","Match Report",""
10,"Sat","2021-10-30","15:30","Leverkusen",1.4,"0-2",1.7,"Wolfsburg",20132,"BayArena","Deniz Aytekin","Match Report",""
10,"Sat","2021-10-30","15:30","Arminia",0.7,"1-2",2.5,"Mainz 05",19477,"SchücoArena","Bastian Dankert","Match Report",""
10,"Sat","2021-10-30","15:30","Dortmund",1.3,"2-0",1.3,"Köln",66709,"Signal Iduna Park","Martin Petersen","Match Report",""
10,"Sat","2021-10-30","18:30","Eint Frankfurt",0.6,"1-1",2.8,"RB Leipzig",31000,"Commerzbank-Arena","Daniel Schlager","Match Report",""
10,"Sun","2021-10-31","15:30","Augsburg",2,"4-1",0.9,"Stuttgart",17500,"WWK Arena","Patrick Ittrich","Match Report",""
10,"Sun","2021-10-31","17:30","M'Gladbach",1.8,"2-1",1,"Bochum",42361,"Stadion im Borussia-Park","Tobias Reichel","Match Report",""
11,"Fri","2021-11-05","20:30","Mainz 05",0.9,"1-1",1.8,"M'Gladbach",25000,"Opel Arena","Robert Schröder","Match Report",""
11,"Sat","2021-11-06","15:30","Stuttgart",0.9,"0-1",1.7,"Arminia",33550,"Mercedes-Benz Arena","Christian Dingert","Match Report",""
11,"Sat","2021-11-06","15:30","Bochum",2.3,"2-0",0.6,"Hoffenheim",19600,"Vonovia Ruhrstadion","Frank Willenborg","Match Report",""
11,"Sat","2021-11-06","15:30","Bayern Munich",3.5,"2-1",1.1,"Freiburg",75000,"Allianz Arena","Sascha Stegemann","Match Report",""
11,"Sat","2021-11-06","15:30","Wolfsburg",0.8,"1-0",0.6,"Augsburg",16095,"Volkswagen Arena","Marco Fritz","Match Report",""
11,"Sat","2021-11-06","18:30","RB Leipzig",2.4,"2-1",1.2,"Dortmund",43429,"Red Bull Arena","Felix Zwayer","Match Report",""
11,"Sun","2021-11-07","15:30","Hertha BSC",0.9,"1-1",1,"Leverkusen",22187,"Olympiastadion Berlin","Robert Hartmann","Match Report",""
11,"Sun","2021-11-07","17:30","Köln",2.1,"2-2",1.1,"Union Berlin",49000,"RheinEnergieSTADION","Tobias Stieler","Match Report",""
11,"Sun","2021-11-07","19:30","Greuther Fürth",2.8,"1-2",1.5,"Eint Frankfurt",10244,"Sportpark Ronhof Thomas Sommer","Daniel Siebert","Match Report",""
12,"Fri","2021-11-19","20:30","Augsburg",0.3,"2-1",1.6,"Bayern Munich",26000,"WWK Arena","Daniel Siebert","Match Report",""
12,"Sat","2021-11-20","15:30","M'Gladbach",2.6,"4-0",0.4,"Greuther Fürth",38621,"Stadion im Borussia-Park","Benjamin Brand","Match Report",""
12,"Sat","2021-11-20","15:30","Leverkusen",1.7,"1-0",0.8,"Bochum",22538,"BayArena","Daniel Schlager","Match Report",""
12,"Sat","2021-11-20","15:30","Arminia",1.5,"2-2",1.7,"Wolfsburg",19801,"SchücoArena","Martin Petersen","Match Report",""
12,"Sat","2021-11-20","15:30","Hoffenheim",2.7,"2-0",0.2,"RB Leipzig",13233,"PreZero Arena","Tobias Welz","Match Report",""
12,"Sat","2021-11-20","15:30","Dortmund",1.7,"2-1",1.4,"Stuttgart",57900,"Signal Iduna Park","Harm Osmers","Match Report",""
12,"Sat","2021-11-20","18:30","Union Berlin",2,"2-0",0.5,"Hertha BSC",22012,"Stadion An der Alten Försterei","Felix Brych","Match Report",""
12,"Sun","2021-11-21","15:30","Freiburg",1.7,"0-2",1.3,"Eint Frankfurt",32500,"Europa-Park Stadion","Florian Badstübner","Match Report",""
12,"Sun","2021-11-21","17:30","Mainz 05",0.9,"1-1",1.7,"Köln",25500,"Opel Arena","Deniz Aytekin","Match Report",""
13,"Fri","2021-11-26","20:30","Stuttgart",0.4,"2-1",1,"Mainz 05",25000,"Mercedes-Benz Arena","Matthias Jöllenbeck","Match Report",""
13,"Sat","2021-11-27","15:30","Wolfsburg",1.4,"1-3",2.2,"Dortmund",13281,"Volkswagen Arena","Sven Jablonski","Match Report",""
13,"Sat","2021-11-27","15:30","Bochum",1,"2-1",2.1,"Freiburg",19700,"Vonovia Ruhrstadion","Patrick Ittrich","Match Report",""
13,"Sat","2021-11-27","15:30","Greuther Fürth",1.4,"3-6",3,"Hoffenheim",3385,"Sportpark Ronhof Thomas Sommer","Bastian Dankert","Match Report",""
13,"Sat","2021-11-27","15:30","Hertha BSC",1.4,"1-1",1.4,"Augsburg",14523,"Olympiastadion Berlin","Frank Willenborg","Match Report",""
13,"Sat","2021-11-27","15:30","Köln",1.7,"4-1",1.1,"M'Gladbach",50000,"RheinEnergieSTADION","Robert Schröder","Match Report",""
13,"Sat","2021-11-27","18:30","Bayern Munich",2.3,"1-0",0.5,"Arminia",12000,"Allianz Arena","Marco Fritz","Match Report",""
13,"Sun","2021-11-28","15:30","Eint Frankfurt",1.9,"2-1",1.3,"Union Berlin",24000,"Commerzbank-Arena","Sascha Stegemann","Match Report",""
13,"Sun","2021-11-28","17:30","RB Leipzig",1.6,"1-3",1.8,"Leverkusen",NA,"Red Bull Arena","Benjamin Cortus","Match Report",""
14,"Fri","2021-12-03","20:30","Union Berlin",3.3,"2-1",1.3,"RB Leipzig",13506,"Stadion An der Alten Försterei","Harm Osmers","Match Report",""
14,"Sat","2021-12-04","15:30","Mainz 05",1.4,"3-0",0.7,"Wolfsburg",10000,"Opel Arena","Florian Badstübner","Match Report",""
14,"Sat","2021-12-04","15:30","Leverkusen",2.8,"7-1",0.4,"Greuther Fürth",10455,"BayArena","Tobias Reichel","Match Report",""
14,"Sat","2021-12-04","15:30","Arminia",1.5,"1-1",1.1,"Köln",8231,"SchücoArena","Felix Brych","Match Report",""
14,"Sat","2021-12-04","15:30","Hoffenheim",0.9,"3-2",1.7,"Eint Frankfurt",NA,"PreZero Arena","Daniel Schlager","Match Report",""
14,"Sat","2021-12-04","15:30","Augsburg",2.9,"2-3",1.2,"Bochum",NA,"WWK Arena","Deniz Aytekin","Match Report",""
14,"Sat","2021-12-04","18:30","Dortmund",1.1,"2-3",2,"Bayern Munich",15000,"Signal Iduna Park","Felix Zwayer","Match Report",""
14,"Sun","2021-12-05","15:30","Stuttgart",1.2,"2-2",1.1,"Hertha BSC",395,"Mercedes-Benz Arena","Benjamin Brand","Match Report",""
14,"Sun","2021-12-05","17:30","M'Gladbach",1.1,"0-6",1.8,"Freiburg",10025,"Stadion im Borussia-Park","Robert Hartmann","Match Report",""
15,"Fri","2021-12-10","20:30","Köln",1.2,"0-2",0.7,"Augsburg",15000,"RheinEnergieSTADION","Patrick Ittrich","Match Report",""
15,"Sat","2021-12-11","15:30","Hertha BSC",2,"2-0",0.4,"Arminia",5000,"Olympiastadion Berlin","Tobias Welz","Match Report",""
15,"Sat","2021-12-11","15:30","RB Leipzig",4.4,"4-1",1.4,"M'Gladbach",NA,"Red Bull Arena","Bastian Dankert","Match Report",""
15,"Sat","2021-12-11","15:30","Freiburg",1.6,"1-2",1.1,"Hoffenheim",750,"Europa-Park Stadion","Frank Willenborg","Match Report",""
15,"Sat","2021-12-11","15:30","Bayern Munich",1.9,"2-1",0.8,"Mainz 05",NA,"Allianz Arena","Benjamin Cortus","Match Report",""
15,"Sat","2021-12-11","15:30","Bochum",0.9,"1-1",2.5,"Dortmund",13799,"Vonovia Ruhrstadion","Matthias Jöllenbeck","Match Report",""
15,"Sat","2021-12-11","18:30","Wolfsburg",1.5,"0-2",1.4,"Stuttgart",5000,"Volkswagen Arena","Sascha Stegemann","Match Report",""
15,"Sun","2021-12-12","15:30","Greuther Fürth",0.7,"1-0",1.2,"Union Berlin",NA,"Sportpark Ronhof Thomas Sommer","Sven Jablonski","Match Report",""
15,"Sun","2021-12-12","17:30","Eint Frankfurt",1.6,"5-2",1.7,"Leverkusen",12000,"Commerzbank-Arena","Marco Fritz","Match Report",""
16,"Tue","2021-12-14","18:30","Stuttgart",0.9,"0-5",3.3,"Bayern Munich",750,"Mercedes-Benz Arena","Robert Schröder","Match Report",""
16,"Tue","2021-12-14","20:30","Wolfsburg",2.5,"2-3",3.3,"Köln",5000,"Volkswagen Arena","Robert Hartmann","Match Report",""
16,"Tue","2021-12-14","20:30","Mainz 05",2.6,"4-0",0.5,"Hertha BSC",10000,"Opel Arena","Harm Osmers","Match Report",""
16,"Tue","2021-12-14","20:30","Arminia",0.9,"2-0",0.6,"Bochum",13750,"SchücoArena","Benjamin Brand","Match Report",""
16,"Wed","2021-12-15","18:30","M'Gladbach",1.9,"2-3",1.8,"Eint Frankfurt",10028,"Stadion im Borussia-Park","Martin Petersen","Match Report",""
16,"Wed","2021-12-15","20:30","Augsburg",1.4,"1-1",2.4,"RB Leipzig",NA,"WWK Arena","Florian Badstübner","Match Report",""
16,"Wed","2021-12-15","20:30","Dortmund",1.8,"3-0",0.6,"Greuther Fürth",15000,"Signal Iduna Park","Daniel Schlager","Match Report",""
16,"Wed","2021-12-15","20:30","Union Berlin",1.8,"0-0",1.4,"Freiburg",5000,"Stadion An der Alten Försterei","Deniz Aytekin","Match Report",""
16,"Wed","2021-12-15","20:30","Leverkusen",2,"2-2",1.9,"Hoffenheim",13272,"BayArena","Tobias Stieler","Match Report",""
17,"Fri","2021-12-17","20:30","Bayern Munich",3.2,"4-0",1.2,"Wolfsburg",NA,"Allianz Arena","Tobias Welz","Match Report",""
17,"Sat","2021-12-18","15:30","Greuther Fürth",0.1,"0-0",1.2,"Augsburg",NA,"Sportpark Ronhof Thomas Sommer","Sascha Stegemann","Match Report",""
17,"Sat","2021-12-18","15:30","Bochum",0.9,"0-1",1,"Union Berlin",13500,"Vonovia Ruhrstadion","Tobias Reichel","Match Report",""
17,"Sat","2021-12-18","15:30","Eint Frankfurt",2,"1-0",0.8,"Mainz 05",15000,"Commerzbank-Arena","Felix Brych","Match Report",""
17,"Sat","2021-12-18","15:30","Hoffenheim",2.3,"1-1",1.6,"M'Gladbach",750,"PreZero Arena","Sven Jablonski","Match Report",""
17,"Sat","2021-12-18","15:30","RB Leipzig",2,"0-2",0.6,"Arminia",NA,"Red Bull Arena","Frank Willenborg","Match Report",""
17,"Sat","2021-12-18","18:30","Hertha BSC",1.6,"3-2",1.2,"Dortmund",5000,"Olympiastadion Berlin","Marco Fritz","Match Report",""
17,"Sun","2021-12-19","15:30","Freiburg",2,"2-1",1,"Leverkusen",750,"Europa-Park Stadion","Benjamin Cortus","Match Report",""
17,"Sun","2021-12-19","17:30","Köln",1.1,"1-0",0.4,"Stuttgart",15000,"RheinEnergieSTADION","Bastian Dankert","Match Report",""
